keyword_opportunity,source,frequency,suggestion,priority
your,Competitor content analysis,7,Consider targeting 'your' in campaigns,High
packages,Competitor content analysis,5,Consider targeting 'packages' in campaigns,High
pretty,Competitor content analysis,4,Consider targeting 'pretty' in campaigns,High
event,Competitor content analysis,4,Consider targeting 'event' in campaigns,High
shop,Competitor content analysis,3,Consider targeting 'shop' in campaigns,High
events,Competitor content analysis,2,Consider targeting 'events' in campaigns,Medium
backdrops,Competitor content analysis,2,Consider targeting 'backdrops' in campaigns,Medium
create,Competitor content analysis,2,Consider targeting 'create' in campaigns,Medium
range,Competitor content analysis,2,Consider targeting 'range' in campaigns,Medium
quality,Competitor content analysis,2,Consider targeting 'quality' in campaigns,Medium
from,Competitor content analysis,2,Consider targeting 'from' in campaigns,Medium
browse,Competitor content analysis,2,Consider targeting 'browse' in campaigns,Medium
graduation balloons brisbane,Location targeting,N/A,Add location modifier to 'graduation balloons',High
graduation balloon brisbane,Location targeting,N/A,Add location modifier to 'graduation balloon',High
balloon garland hire brisbane,Location targeting,N/A,Add location modifier to 'balloon garland hire',High
balloon arch hire brisbane,Location targeting,N/A,Add location modifier to 'balloon arch hire',High
birthday backdrop hire brisbane,Location targeting,N/A,Add location modifier to 'birthday backdrop hire',High
birthday decorations hire brisbane,Location targeting,N/A,Add location modifier to 'birthday decorations hire',High
party hire brisbane gold coast,Location targeting,N/A,Add location modifier to 'party hire brisbane',High
brisbane hire party gold coast,Location targeting,N/A,Add location modifier to 'brisbane hire party',High
